客户ID,会员年限,年龄,性别,城市等级,最近消费日期,消费频率,总消费金额,平均单次消费,折扣使用率,满意度评分,客户类型标签
CUST_000001,2.8,44.0,男,其他,2024-12-12,10,6898.46,689.85,0.29,4.0,潜力客户
CUST_000002,2.6,42.0,女,三线,2024-11-25,7,3909.73,558.53,0.36,3.0,一般客户
CUST_000003,2.3,36.0,男,三线,2024-12-20,25,10997.91,439.92,0.29,3.0,高价值
CUST_000004,0.9,25.0,女,二线,2024-12-14,7,2822.63,403.23,0.32,3.0,一般客户
CUST_000005,6.1,29.0,男,其他,2024-12-29,18,8615.38,478.63,0.22,4.0,高价值
CUST_000006,1.9,39.0,女,其他,2024-12-15,8,2560.2,320.03,0.36,5.0,一般客户
CUST_000007,0.6,37.0,女,二线,2024-12-02,8,1587.95,198.49,0.4,4.0,一般客户
CUST_000008,4.2,28.0,男,二线,2024-07-16,1,711.39,711.39,0.43,3.0,流失风险
CUST_000009,6.7,63.0,男,一线,2024-12-28,15,15670.13,1044.68,0.22,5.0,高价值
CUST_000010,1.3,56.0,女,二线,2024-11-13,3,1190.68,396.89,0.4,4.0,一般客户
CUST_000011,3.2,35.0,男,二线,2024-12-12,13,7244.57,557.27,0.25,4.0,潜力客户
CUST_000012,5.8,53.0,女,一线,2024-12-18,17,5471.44,321.85,0.16,5.0,高价值
CUST_000013,2.0,49.0,女,三线,2024-11-18,6,3828.56,638.09,0.51,4.0,一般客户
CUST_000014,4.6,49.0,男,其他,2024-10-20,4,779.86,194.96,0.62,3.0,流失风险
CUST_000015,0.9,58.0,女,二线,2024-12-04,3,1914.34,638.11,0.46,3.0,一般客户
CUST_000016,1.2,33.0,男,二线,2024-12-03,8,5019.18,627.4,0.25,3.0,潜力客户
CUST_000017,2.5,58.0,男,三线,2024-12-10,10,6047.82,604.78,0.21,4.0,潜力客户
CUST_000018,2.2,38.0,女,二线,2024-11-21,8,1726.17,215.77,0.53,4.0,一般客户
CUST_000019,2.6,27.0,女,其他,2024-12-06,9,1270.87,141.21,0.4,3.0,一般客户
CUST_000020,2.9,54.0,男,二线,2024-12-24,14,4132.48,295.18,0.23,,潜力客户
